country,cuisines,restaurant_count,percentage,average_rating,total_reviews
Germany,Turkish,1785,1.9389107340705178,4.105882352941176,10286.0
Germany,Tuscan,27,0.02932806152375573,4.407407407407407,1699.0
Germany,Ukrainian,13,0.014120918511437944,4.423076923076923,59.0
Germany,Uzbek,4,0.004344898003519367,3.875,30.0
Germany,Venezuelan,7,0.007603571506158893,4.214285714285714,90.0
Germany,Vietnamese,1292,1.4034020551367556,4.242260061919505,11709.0
Germany,Welsh,1,0.0010862245008798417,3.5,9.0
Germany,Wine Bar,1085,1.1785535834546284,4.3663594470046085,8739.0
Germany,Xinjiang,4,0.004344898003519367,3.875,21.0
Germany,Yunnan,3,0.0032586735026395256,4.333333333333333,12.0
Greece,Afghani,2,0.006423845313804843,4.0,10.0
Greece,African,11,0.035331149225926645,4.590909090909091,447.0
Greece,Albanian,7,0.022483458598316953,4.571428571428571,150.0
Greece,American,650,2.087749726986574,4.309230769230769,15258.0
Greece,Arabic,44,0.14132459690370658,4.534090909090909,1649.0
Greece,Argentinian,12,0.03854307188282906,4.166666666666667,276.0
Greece,Armenian,19,0.061026530481146014,4.368421052631579,668.0
Greece,Asian,377,1.210894841652213,4.255968169761273,25838.0
Greece,Australian,7,0.022483458598316953,4.357142857142857,247.0
Greece,Austrian,4,0.012847690627609687,4.625,58.0
Greece,Azerbaijani,3,0.009635767970707265,4.833333333333333,31.0
Greece,Bahamian,1,0.0032119226569024216,4.5,1.0
Greece,Balti,16,0.051390762510438746,4.34375,890.0
Greece,Bangladeshi,6,0.01927153594141453,4.166666666666667,83.0
Greece,Bar,2619,8.412025438427442,4.353379152348224,145118.0
Greece,Barbecue,1453,4.666923620479219,4.321403991741225,69962.0
Greece,Beer restaurants,91,0.29228496177812036,4.752747252747253,2970.0
Greece,Beijing cuisine,4,0.012847690627609687,4.125,19.0
Greece,Belgian,14,0.044966917196633906,4.714285714285714,138.0
Greece,Brazilian,7,0.022483458598316953,4.285714285714286,111.0
Greece,Brew Pub,229,0.7355302884306546,4.521834061135372,6996.0
Greece,British,181,0.5813580008993384,4.5,18067.0
Greece,Cafe,4778,15.346566454679772,4.393156132272917,128056.0
Greece,Cajun & Creole,3,0.009635767970707265,4.833333333333333,176.0
Greece,Cambodian,1,0.0032119226569024216,3.5,5.0
Greece,Campania,67,0.21519881801246227,4.440298507462686,7225.0
Greece,Canadian,8,0.025695381255219373,4.125,211.0
Greece,Caribbean,16,0.051390762510438746,4.375,267.0
Greece,Caucasian,4,0.012847690627609687,4.25,33.0
Greece,Central American,26,0.08350998907946297,4.076923076923077,2144.0
Greece,Central Asian,3,0.009635767970707265,4.166666666666667,6.0
