country,cuisines,restaurant_count,percentage,average_rating,total_reviews,obesity_rate,GDP per capita
Croatia,Spanish,1,0.0351370344342937,4.5,102.0,26.5,23301.27286
Croatia,Sri Lankan,1,0.0351370344342937,4.5,781.0,26.5,23301.27286
Croatia,Steakhouse,51,1.7919887561489811,4.235294117647059,2886.0,26.5,23301.27286
Croatia,Street Food,55,1.932536893886156,4.581818181818182,2914.0,26.5,23301.27286
Croatia,Sushi,21,0.7378777231201686,4.214285714285714,1670.0,26.5,23301.27286
Croatia,Swedish,1,0.0351370344342937,3.5,13.0,26.5,23301.27286
Croatia,Taiwanese,1,0.0351370344342937,5.0,8.0,26.5,23301.27286
Croatia,Thai,8,0.2810962754743499,4.6875,501.0,26.5,23301.27286
Croatia,Turkish,22,0.7730147575544624,4.318181818181818,250.0,26.5,23301.27286
Croatia,Venezuelan,1,0.0351370344342937,4.5,4.0,26.5,23301.27286
Croatia,Wine Bar,64,2.2487702037948,4.4921875,2434.0,26.5,23301.27286
Croatia,Xinjiang,1,0.0351370344342937,4.5,24.0,26.5,23301.27286
Czech Republic,Afghani,2,0.0157158573000157,4.5,193.0,28.0,33899.28657
Czech Republic,African,6,0.0471475719000471,4.916666666666667,9.0,28.0,33899.28657
Czech Republic,Albanian,1,0.0078579286500078,1.0,1.0,28.0,33899.28657
Czech Republic,American,477,3.748231966053748,4.085953878406708,23304.0,28.0,33899.28657
Czech Republic,Arabic,24,0.1885902876001886,4.5625,827.0,28.0,33899.28657
Czech Republic,Argentinian,12,0.0942951438000943,4.208333333333333,2719.0,28.0,33899.28657
Czech Republic,Armenian,4,0.0314317146000314,4.625,22.0,28.0,33899.28657
Czech Republic,Asian,525,4.125412541254125,4.179047619047619,32997.0,28.0,33899.28657
Czech Republic,Australian,6,0.0471475719000471,4.75,249.0,28.0,33899.28657
Czech Republic,Austrian,23,0.1807323589501807,4.152173913043479,646.0,28.0,33899.28657
Czech Republic,Azerbaijani,2,0.0157158573000157,4.25,22.0,28.0,33899.28657
Czech Republic,Bahamian,2,0.0157158573000157,3.75,3.0,28.0,33899.28657
Czech Republic,Balti,1,0.0078579286500078,4.0,6.0,28.0,33899.28657
Czech Republic,Bangladeshi,7,0.055005500550055,4.285714285714286,762.0,28.0,33899.28657
